Name;About;PersonalityType;Universe;Profile;;;;
Clint Eastwood;American film actor, director, producer, and composer;ISTP_A;REALPERSON;Virtuoso;;;;;
Daniel Craig;English actor best known for playing James Bond;ISTP_A;REALPERSON;Virtuoso;;;;;
Tom Cruise;American actor and producer;ISTP_A;REALPERSON;Virtuoso;;;;;
Michelle Rodriguez;American actress;ISTP_A;REALPERSON;Virtuoso;;;;;
Arya Stark;Game of Thrones;ISTP_A;GOT;Virtuoso;;;;;
Katniss Everdeen;The Hunger Games;ISTP_A;HUNGER;Virtuoso;;;;;
Eminem;American rapper, songwriter, record producer, record executive, film producer, and actor;ISTP_A;REALPERSON;Virtuoso;;;;;
Natasha Romanoff Black Widow;Marvel Cinematic Universe :  The Heroes;ISTP_A;MARVEL;Virtuoso;;;;;
Ymir;Shingeki no Kyojin (Attack on Titan);ISTP_A;;Virtuoso;;;;;
Maeve Wiley;Sex Education;ISTP_A;;Virtuoso;;;;;
Saitama ;One Punch Man;ISTP_A;;Virtuoso;;;;;
Jim Hopper;Stranger Things;ISTP_A;;Virtuoso;;;;;
Bruce Lee;Hong Kong and American actor, film director, martial artist, martial arts instructor, philosopher, and founder of the martial art Jeet Kune Do;ISTP_A;REALPERSON;Virtuoso;;;;;
Roronoa Zoro;One Piece;ISTP_A;ONEPIECE;Virtuoso;;;;;
John Wick;John Wick;ISTP_A;;Virtuoso;;;;;
